id,title,vegetarian,vegan,glutenFree,dairyFree,veryHealthy,cheap,veryPopular,sustainable,sourceName,readyInMinutes,servings,sourceUrl
873979,Onigiri,True,True,True,True,False,False,False,False,Food Fanatic,45,3,https://www.foodfanatic.com/2017/04/onigiri/
795145,VIDEO: Chocolate Peanut Butter Brown Rice Crispy Treats,True,True,True,True,False,False,True,False,Fit Foodie Finds,5,9,http://fitfoodiefinds.com/2016/07/video-chocolate-peanut-butter-brown-rice-crispy-treats/
526321,Red Dates and Egg Tea,True,False,True,True,False,False,False,False,Christines Recipes ,50,1,http://en.christinesrecipes.com/2012/03/red-dates-and-egg-tea.html
565537,{ Redux} Green Tea Rice,True,True,True,True,False,False,False,False,The Lean Green Bean,35,4,http://www.theleangreenbean.com/recipe-redux-green-tea-rice/
201056,"Glutinous Rice with Red Bean Paste, Walnuts, and Currants",True,True,True,True,False,False,False,False,Serious Eats,60,8,http://www.seriouseats.com/recipes/2012/05/glutinous-rice-with-red-bean-paste-walnuts-an.html
202384,Berliner Weisse (For Intermediate Homebrewers),True,False,False,False,False,False,False,False,Serious Eats,45,40,http://www.seriouseats.com/recipes/2012/03/homebrewing-berliner-weisse-recipe-how-to-brew-sour-beer.html
540657,Gyudon Bento,True,True,True,True,True,False,False,False,Just One Cookbook,15,1,http://www.justonecookbook.com/recipes/gyudon-bento/
36516,Red Beans And Rice,True,True,True,True,False,False,False,False,Healthy Happy Life,45,1,http://kblog.lunchboxbunch.com/2011/12/easy-vegan-family-meal-hsus-party-too.html
273947,Country Pie,False,False,True,True,False,False,False,False,Kraft Recipes,60,6,http://www.kraftrecipes.com/recipes/country-pie-66271.aspx
1120239,Fresh Grilled Shrimp Meal Prep Bowls,False,False,False,True,False,False,False,False,Fit Foodie Finds,40,4,https://fitfoodiefinds.com/fresh-grilled-shrimp-meal-prep-bowls/
1031764,Clean Eating Lunch Box Burritos,True,True,False,True,False,False,False,False,The Gracious Pantry,15,1,https://www.thegraciouspantry.com/clean-eating-lunch-box-burritos-recipe/
99259,Easy Rice Salsa Salad,True,True,True,True,False,False,False,False,Food.com,5,1,http://www.food.com/recipe/easy-rice-salsa-salad-234363
35633,Peanut Butter Crispy Rice Treats,True,False,True,True,False,False,False,False,My Recipes,45,15,http://www.myrecipes.com/recipe/peanut-butter-crispy-rice-treats-10000002011071/
265244,Cilantro-Chipotle Rice,True,True,True,True,False,False,False,False,My Recipes,6,4,http://www.myrecipes.com/recipe/cilantro-chipotle-rice-10000001896161/
35868,Rice Pilaf with Chorizo and Scallions,False,False,True,True,False,False,False,False,My Recipes,45,4,http://www.myrecipes.com/recipe/rice-pilaf-with-chorizo-scallions-10000001866498/
70625,Apple Rice,True,True,True,True,False,False,False,False,,12,1,http://healthy.betterrecipes.com/apple-rice.html
271836,10-Minute Cheesy Mexican Rice,True,False,True,True,False,False,False,False,,10,10,http://www.Kraftrecipes.com/recipes/10-minute-cheesy-mexican-rice-51916.aspx
110417,San Francisco Chicken Brocco - Roni,False,False,True,True,False,False,False,False,Food.com,11,4,http://www.food.com/recipe/san-francisco-chicken-brocco-roni-428464
372588,Broccoli with Rice,False,False,True,True,True,False,False,False,Taste of Home,20,4,http://www.tasteofhome.com/Recipes/broccoli-with-rice
113625,Black Beans and Yellow Rice,False,False,True,True,False,False,False,False,Food.com,13,4,http://www.food.com/recipe/black-beans-and-yellow-rice-253774
