recipeId,dishType
873979,side dish
795145,side dish
526321,side dish
565537,side dish
201056,side dish
202384,antipasti
202384,starter
202384,snack
202384,appetizer
202384,antipasto
202384,hor d'oeuvre
540657,side dish
36516,side dish
273947,lunch
273947,main course
273947,main dish
273947,dinner
1120239,lunch
1120239,main course
1120239,main dish
1120239,dinner
99259,salad
35633,antipasti
35633,starter
35633,snack
35633,appetizer
35633,antipasto
35633,hor d'oeuvre
265244,side dish
35868,side dish
70625,side dish
271836,side dish
110417,lunch
110417,main course
110417,main dish
110417,dinner
372588,side dish
113625,lunch
113625,main course
113625,main dish
113625,dinner
481928,side dish
521501,lunch
521501,main course
521501,main dish
521501,dinner
248189,side dish
56649,side dish
793786,morning meal
793786,brunch
793786,breakfast
521703,side dish
228587,lunch
228587,main course
228587,main dish
228587,dinner
125298,side dish
616685,side dish
96937,lunch
96937,main course
96937,main dish
96937,dinner
128910,side dish
70524,antipasti
70524,starter
70524,snack
70524,appetizer
70524,antipasto
70524,hor d'oeuvre
608753,side dish
604906,side dish
605773,side dish
765471,antipasti
765471,starter
765471,snack
765471,appetizer
765471,antipasto
765471,hor d'oeuvre
49636,side dish
142868,side dish
160518,side dish
670998,soup
76953,lunch
76953,main course
76953,main dish
76953,dinner
537376,antipasti
537376,starter
537376,snack
537376,appetizer
537376,antipasto
537376,hor d'oeuvre
598024,side dish
475267,antipasti
475267,starter
475267,snack
475267,appetizer
475267,antipasto
475267,hor d'oeuvre
592424,side dish
591703,lunch
591703,main course
591703,main dish
591703,dinner
532320,side dish
139508,lunch
139508,main course
139508,main dish
139508,dinner
538633,side dish
799756,lunch
799756,main course
799756,main dish
799756,dinner
393974,lunch
393974,main course
393974,main dish
393974,dinner
77247,side dish
269443,antipasti
269443,starter
269443,snack
269443,appetizer
269443,antipasto
269443,hor d'oeuvre
138608,side dish
138667,lunch
138667,main course
138667,main dish
138667,dinner
139388,sauce
604875,salad
1075071,antipasti
1075071,starter
1075071,snack
1075071,appetizer
1075071,antipasto
1075071,hor d'oeuvre
559886,lunch
559886,main course
559886,main dish
559886,dinner
510869,soup
574737,lunch
574737,main course
574737,main dish
574737,dinner
217239,lunch
217239,main course
217239,main dish
217239,dinner
570366,lunch
570366,main course
570366,main dish
570366,dinner
74358,lunch
74358,main course
74358,main dish
74358,dinner
611630,side dish
248990,lunch
248990,main course
248990,main dish
248990,dinner
136586,lunch
136586,main course
136586,main dish
136586,dinner
521767,side dish
1156204,lunch
1156204,main course
1156204,main dish
1156204,dinner
1020423,lunch
1020423,main course
1020423,main dish
1020423,dinner
394088,antipasti
394088,starter
394088,snack
394088,appetizer
394088,antipasto
394088,hor d'oeuvre
386635,lunch
386635,main course
386635,main dish
386635,dinner
133849,salad
265707,antipasti
265707,starter
265707,snack
265707,appetizer
265707,antipasto
265707,hor d'oeuvre
544373,side dish
259284,lunch
259284,main course
259284,main dish
259284,dinner
170328,lunch
170328,main course
170328,main dish
170328,dinner
