recipeId,ingredientId,name,amount,unit
873979,10220445,cooked rice,3.0,cups
873979,11446,nori,1.0,sheet
873979,20444,rice,1.0,tablespoon
795145,20040,brown rice,4.0,cups
795145,93784,brown rice syrup,0.5,cup
795145,16098,peanut butter,0.5,cup
526321,9087,dates,30.0,
526321,1123,egg,1.0,
526321,20444,rice,4.0,
565537,11291,green onions,0.25,cup
565537,10014355,green tea,2.0,cups
565537,20444,rice,1.0,cup
201056,9085,currants,0.5,cup
201056,10020054,glutinous rice,2.0,cups
201056,99082,red bean paste,1.0,cup
201056,,lard,2.0,tablespoons
202384,14311,malt mix,3.25,pounds
202384,10514003,pilsner,3.25,pounds
202384,20444,rice,0.5,pounds
540657,11583,Frozen Mixed Vegetables,1.0,serving
540657,11252,lettuce,1.0,serving
540657,20444,rice,1.0,serving
540657,,furikake,1.0,serving
540657,,gyudon,1.0,serving
540657,,tamagoyaki,1.0,serving
36516,10016034,canned red beans,30.0,ml
36516,20041,cooked brown rice,30.0,ml
36516,93690,nutritional yeast,1.0,serving
36516,,season,1.0,serving
273947,23557,extra lean ground beef,1.0,lb
273947,20048,minute rice,1.0,cups
273947,10011549,spaghetti sauce,14.0,oz
273947,,velveetaâ®,6.0,oz
1120239,15152,shrimp,1.0,lb
1120239,10220444,white rice,1.0,cup
1120239,99210,black bean sauce,1.0,serving
1031764,93675,whole grain tortilla,1.0,
1031764,16202,refried beans,0.3333333333333333,cup
1031764,20041,cooked brown rice,0.25,cup
99259,10220445,cooked rice,3.0,tablespoons
99259,11252,lettuce,2.0,cups
99259,6164,salsa,1.0,tablespoon
35633,20040,brown rice,6.0,cups
35633,93822,dried cherries,0.6666666666666666,cup
35633,19296,honey,0.75,cup
35633,,chunky,0.75,cup
265244,20040,brown rice,10.0,ounce
265244,11165,fresh cilantro,0.25,cup
265244,6164,salsa,0.3333333333333333,cup
35868,20444,rice,6.0,ounce
35868,11291,scallions,4.0,
35868,99233,spanish chorizo,4.0,ounces
70625,9003,apple,0.5,cup
70625,20048,minute rice,0.5,cup
70625,12061,whole almonds,1.0,serving
271836,6984,fat-free chicken broth,14.5,oz
271836,20048,instant white rice,2.0,cups
271836,6164,salsa,0.75,cup
271836,,velveetaâ,4.0,oz
110417,11090,broccoli,1.5,cups
110417,5062,chicken breast,1.0,large
110417,20444,rice,2.5,cups
372588,11090,broccoli,16.0,ounces
372588,6147,condensed cream of mushroom soup,10.0,ounces
372588,10220445,cooked rice,1.0,cups
113625,16018,canned black beans,30.0,ounce
113625,4073,margarine,2.0,tablespoons
113625,20444,rice,10.0,ounce
481928,19335,cane sugar,0.75,tbsp
481928,12006,chia seeds,1.0,serving
481928,9079,dried cranberries,0.25,cup
481928,8121,oatmeal,1.0,cup
521501,10016098,crunchy peanut butter,1.0,tbsp
521501,19911,maple syrup,1.0,serving
521501,8121,oatmeal,1.0,cup
521501,14412,water,0.25,cup
521501,99075,chocolate protein powder,1.0,scoop
248189,9040,banana,1.0,
248189,8121,oatmeal,2.0,cups
248189,2050,vanilla extract,1.0,teaspoon
